セールページ対象,商品管理番号（商品URL）,商品名(item),メール指示書（〇をつけてください）,通常価格(税込),販売価格(税込）(price),3重価格,割引画像名(※割引率の後に「_off.gif」をつけてください(OFF),送料無料(※送料無料の場合は1を入れてください）(souryou),クーポン割引画像名,商品ページURL,商品画像URL,RAC番号,クーポン1画像,クーポン1URL（クーポンのURLを入れてください）,クーポン2画像,クーポン2URL（クーポンのURLを入れてください）,カラム数
NO-PRICE3,c5972,綿混ブラトップ,,,,,,1,,https://item.rakuten.co.jp/sanchya/c5972/,https://image.rakuten.co.jp/sanchya/cabinet/00289373/11178482/c5972-100enoff.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10065471&amp;itype=1,,,,,1
NO-PRICE4,c5570,ファーストブラ,,,,,,1,,https://item.rakuten.co.jp/sanchya/c5570/,https://image.rakuten.co.jp/sanchya/cabinet/00289373/11178482/c5570-200enoff.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10062614&itype=1,,,,,1
NO-PRICE5,ba0800,ノンワイヤーブラ,,,,,,1,,https://item.rakuten.co.jp/sanchya/ba0800/,https://image.rakuten.co.jp/sanchya/cabinet/00289373/11178482/ba0800-10off.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10067507&amp;itype=1,,,,,2
NO-PRICE5,ba0830,ナイトブラ,,,,,,1,,https://item.rakuten.co.jp/sanchya/ba0830/,https://image.rakuten.co.jp/sanchya/cabinet/00289373/11178482/ba0830-10off.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10067508&amp;itype=1,,,,,2
NO-PRICE6,ba0220,さっと片手で瞬く授乳ブラ,,,,,,1,,https://item.rakuten.co.jp/sanchya/ba0220/,https://image.rakuten.co.jp/sanchya/cabinet/00289373/11178482/ba0220-10off.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10066633&amp;itype=1,,,,,2
NO-PRICE6,d0508,襟付きマタニティワンピ,,,,,,1,,https://item.rakuten.co.jp/sanchya/d0508/,https://image.rakuten.co.jp/sanchya/cabinet/00289373/11178482/d0508-200ennoff.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10067191&amp;itype=1,,,,,2
PRICE_DOWN,5989,綿95%ナイトブラ,,1980~,1380~,,30_off.gif,1,,https://item.rakuten.co.jp/sanchya/5989/,https://image.rakuten.co.jp/sanchya/cabinet/5989-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10009223&itype=1,,,,,2
PRICE_DOWN,c0777,日本製骨盤ガードル,,2970,2360,,20_off.gif,1,,https://item.rakuten.co.jp/sanchya/c0777/,https://image.rakuten.co.jp/sanchya/cabinet/c0777-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10034003&itype=1,,,,,2
PRICE_DOWN,c1111,ハイウエストガードル,,3630,2560,,29_off.gif,1,,https://item.rakuten.co.jp/sanchya/c1111/,https://image.rakuten.co.jp/sanchya/cabinet/c1111-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10041393&itype=1,,,,,2
PRICE_DOWN,c2630,超ハイウエストガードル,,4290,2820,,34_off.gif,1,,https://item.rakuten.co.jp/sanchya/c2630/,https://image.rakuten.co.jp/sanchya/cabinet/c2630-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10049203&itype=1,,,,,2
PRICE_DOWN,c1354,3枚組サニタリーショーツ,,2200,2090,,5_off.gif,1,,https://item.rakuten.co.jp/sanchya/c1354/,https://image.rakuten.co.jp/sanchya/cabinet/c1354-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10042732&itype=1,,,,,2
PRICE_DOWN,c6100,綿混サニタリーショーツ,,2640,2090,,20_off.gif,1,,https://item.rakuten.co.jp/sanchya/c6100/,https://image.rakuten.co.jp/sanchya/cabinet/c6100-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=106&shop_bid=203078&iid=10066008&itype=1,,,,,2
PRICE_DOWN,c6070,吸水ショーツ　60ml,,3300,3300,,,1,,https://item.rakuten.co.jp/sanchya/c6070/,https://image.rakuten.co.jp/sanchya/cabinet/c6070-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10066250&itype=1,,,,,2
PRICE_DOWN,c6045,コルセット付ガードル,,2980,1490,,50_off.gif,1,,https://item.rakuten.co.jp/sanchya/c6045/,https://image.rakuten.co.jp/sanchya/cabinet/c6045-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10066264&amp;itype=1,,,,,2
FEATURE,b2700,育乳ツン胸メーカー,,5170~,4911~,,5_off.gif,1,,https://item.rakuten.co.jp/sanchya/b2700/,https://image.rakuten.co.jp/sanchya/cabinet/b2700-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10049056&itype=1,,,,,1
LULUSMART_BRA,b7070,スポーツブラ,,5500,3980,,27_off.gif,1,,https://item.rakuten.co.jp/sanchya/b7070/,https://image.rakuten.co.jp/sanchya/cabinet/b7070-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10061331&itype=1,,,,,2
LULUSMART_BRA,b7070a,スポーツブラ,,5500,3980,,27_off.gif,1,,https://item.rakuten.co.jp/sanchya/b7070a/,https://image.rakuten.co.jp/sanchya/cabinet/b7070a-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10061332&amp;itype=1,,,,,2
LULUSMART_BRA,b8000,チューブトップ,,5280,3971,,24_off.gif,1,,https://item.rakuten.co.jp/sanchya/b8000/,https://image.rakuten.co.jp/sanchya/cabinet/b8000-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10062993&itype=1,,,,,2
LULUSMART_BRA,b5850,アンダー90サイズ,,5350,3850,,28_off.gif,1,,https://item.rakuten.co.jp/sanchya/b5850/,https://image.rakuten.co.jp/sanchya/cabinet/b5850-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10059106&itype=1,,,,,2
LULUSMART_BRA,b9500,ナイトブラ,,5350,3184,,40_off.gif,1,,https://item.rakuten.co.jp/sanchya/b9500/,https://image.rakuten.co.jp/sanchya/cabinet/b9500-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10065655&itype=1,,,,,2
LULUSMART_BRA,ba0200,ルルスマートブラワイヤレスブラライト,,5190,3980,,23_off.gif,1,,https://item.rakuten.co.jp/sanchya/ba0200/,https://image.rakuten.co.jp/sanchya/cabinet/ba0200-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10066668&amp;itype=1,,,,,2
MATERNITY,c6090,マタニティショーツ ohana,,980,885,,9_off.gif,1,,https://item.rakuten.co.jp/sanchya/c6090/,https://image.rakuten.co.jp/sanchya/cabinet/c6090-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10066972&amp;itype=1,,,,,2
MATERNITY,d0507,丸首マタニティワンピ,,4400,2970,,32_off.gif,1,,https://item.rakuten.co.jp/sanchya/d0507/,https://image.rakuten.co.jp/sanchya/cabinet/d0507-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10067192&amp;itype=1,,,,,2
MATERNITY,a0242,コットン100% 新生児肌着,,3280,3280,,,1,,https://item.rakuten.co.jp/sanchya/a0242/,https://image.rakuten.co.jp/sanchya/cabinet/a0242-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10067187&amp;itype=1,,,,,2
MATERNITY,a0243,コットン100% 新生児肌着,,2979,2979,,,1,,https://item.rakuten.co.jp/sanchya/a0243/,https://image.rakuten.co.jp/sanchya/cabinet/a0243-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10067186&amp;itype=1,,,,,2
DAILY_ITEM,b6174,綿95% 前開きブラジャー,,2200,2090,,5_off.gif,1,,https://item.rakuten.co.jp/sanchya/b6174/,https://image.rakuten.co.jp/sanchya/cabinet/b6174-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10059751&itype=1,,,,,2
DAILY_ITEM,c6065,3枚組シームレスショーツ,,2120,1480,,30_off.gif,1,,https://item.rakuten.co.jp/sanchya/c6065/,https://image.rakuten.co.jp/sanchya/cabinet/c6065-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10066209&itype=1,,,,,2
DAILY_ITEM,3361,総レースショーツ,,,620,,,,,https://item.rakuten.co.jp/sanchya/3361/,https://image.rakuten.co.jp/sanchya/cabinet/3361-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10001281&amp;itype=1,,,,,2
DAILY_ITEM,f0113,ふんどしショーツ3枚組,,4620,2988,,35_off.gif,1,,https://item.rakuten.co.jp/sanchya/f0113/,https://image.rakuten.co.jp/sanchya/cabinet/f0113-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10063926&amp;itype=1,,,,,2
BRA_SET,f0042,ブラセット5点福袋,,5300~,2970~,,43_off.gif,1,,https://item.rakuten.co.jp/sanchya/f0042/,https://image.rakuten.co.jp/sanchya/cabinet/f0042-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10011014&itype=1,,,,,2
BRA_SET,f0087,大きいサイズ3点福袋,,7260~,4398~,,39_off.gif,1,,https://item.rakuten.co.jp/sanchya/f0087/,https://image.rakuten.co.jp/sanchya/cabinet/f0087-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=106&shop_bid=203078&iid=10057147&itype=1,,,,,2
BRA_SET,b7177,フロント総レースブラセット,,,1606,,,,,https://item.rakuten.co.jp/sanchya/b7177/,https://image.rakuten.co.jp/sanchya/cabinet/b7177-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10061655&itype=1,,,,,2
BRA_SET,b9575a,プチバストブラセット,,,1800,,,,,https://item.rakuten.co.jp/sanchya/b9575a/,https://image.rakuten.co.jp/sanchya/cabinet/b9575-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10066448&amp;itype=1,,,,,2
BRA_SET,3268,花柄刺繍ブラセット,,,1606,,,,,https://item.rakuten.co.jp/sanchya/3268/,https://image.rakuten.co.jp/sanchya/cabinet/3268-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10001196&amp;itype=1,,,,,2
BRA_SET,ba0864,メッシュノンワイヤーブラジャー,,,660,,,,,https://item.rakuten.co.jp/sanchya/ba0864/,https://image.rakuten.co.jp/sanchya/cabinet/ba0864-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10066639&itype=1,,,,,2
